topo_bm_high,S_creation,net_id,topo_rand_basal,net_type,Int_realised,dyn_rand_basal,C_creation,t_val,topo_rand_consumer,C_realised,topo_bm_low,S_realised,dyn_bm_low,dyn_bm_high,Int_init,dyn_rand_consumer
0.3804347826086957,52,8,0.20652173913043478,down_size,19,0.4230769230769231,0.07396449704142012,50,0.3804347826086957,0.0945179584120983,0.34782608695652173,46,0.4807692307692308,0.4423076923076923,19,0.4807692307692308
0.46,52,8,0.12275862068965517,niche_down,21,0.11538461538461539,0.053994082840236685,50,0.48,0.0584,0.38,50,0.19230769230769232,0.15384615384615385,21,0.1794871794871795
0.5,52,8,0.14837209302325582,atn,7,0.19230769230769232,0.22263313609467456,50,0.48,0.2408,0.5,50,0.5,0.5,7,0.5
0.42,52,8,0.19,down,45,0.21153846153846154,0.07877218934911243,50,0.49,0.0852,0.28,50,0.23076923076923078,0.25,44,0.25
0.46153846153846156,52,9,0.15384615384615385,niche,0,0.15384615384615385,0.1268491124260355,50,0.4423076923076923,0.1268491124260355,0.25,52,0.3269230769230769,0.26282051282051283,0,0.2692307692307692
0.5,52,9,0.14516129032258066,down_size,6,0.15384615384615385,0.1320266272189349,50,0.4230769230769231,0.1320266272189349,0.3076923076923077,52,0.2692307692307692,0.2692307692307692,15,0.2692307692307692
0.5,52,9,0.1444906444906445,niche_down,42,0.10461538461538462,0.1275887573964497,50,0.5,0.1275887573964497,0.5,52,0.121301775147929,0.11888111888111888,48,0.12179487179487179
0.5,52,9,0.1478048780487805,atn,8,0.19230769230769232,0.2015532544378698,50,0.48,0.218,0.5,50,0.5,0.5,8,0.5
0.47959183673469385,52,9,0.14081632653061224,down,49,0.23076923076923078,0.07729289940828403,50,0.4260204081632653,0.08704706372344856,0.25765306122448983,49,0.28846153846153844,0.3076923076923077,50,0.33653846153846156
0.5,52,10,0.1346153846153846,niche,0,0.19230769230769232,0.07877218934911243,50,0.46153846153846156,0.07877218934911243,0.17825443786982248,52,0.4423076923076923,0.3269230769230769,0,0.46153846153846156
0.40869565217391307,52,10,0.22554347826086957,down_size,26,0.38461538461538464,0.07322485207100592,50,0.41304347826086957,0.09357277882797732,0.1956521739130435,46,0.4230769230769231,0.40384615384615385,25,0.4230769230769231
0.4230769230769231,52,10,0.13782051282051283,niche_down,42,0.10897435897435898,0.0650887573964497,50,0.46153846153846156,0.0650887573964497,0.4423076923076923,52,0.2371794871794872,0.19871794871794873,42,0.19230769230769232
0.5,52,10,0.1680952380952381,atn,8,0.21153846153846154,0.20081360946745563,50,0.5,0.2172,0.5,50,0.5,0.5,8,0.5
0.4807692307692308,52,10,0.34615384615384615,down,32,0.4807692307692308,0.036242603550295856,50,0.30341880341880345,0.06443129520052597,0.3557692307692308,39,0.34615384615384615,0.34615384615384615,33,0.34615384615384615
