S_creation,net_id,topo_rand_basal,I_realised,net_type,dyn_degree_high,dyn_rand_basal,C_creation,t_val,I_creation,topo_rand_consumer,C_realised,topo_bm_low,S_realised,dyn_bm_low,topo_degree_high,C_target,dyn_rand_consumer
52,32,0.19954954954954957,0,metaweb,0.21153846153846154,0.15384615384615385,0.17492603550295857,5000,10,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.07933179494949913,0.21153846153846154
52,32,0.19230769230769232,0,niche,0.01785714285714286,0.016666666666666666,0.07285502958579881,5000,0,0.38461538461538464,0.06360946745562131,0.23076923076923078,26,0.019230769230769232,0.3076923076923077,0.07933179494949913,0.019230769230769232
52,32,0.41666666666666663,0,down_rand,0.012195121951219513,0.011904761904761906,0.07951183431952663,5000,94,0.18055555555555555,0.1111111111111111,0.3055555555555555,9,0.011904761904761906,0.18055555555555555,0.07933179494949913,0.011904761904761906
52,32,0.43333333333333335,1,down_link,0.0125,0.011904761904761906,0.07951183431952663,5000,121,0.2,0.11,0.26666666666666666,10,0.0125,0.2,0.07933179494949913,0.0125
52,32,0.17444444444444443,13,down_niche,0.21153846153846154,0.15384615384615385,0.07951183431952663,5000,24,0.5,0.10802469135802469,0.5,36,0.21153846153846154,0.5,0.07933179494949913,0.17307692307692307
52,32,0.4,0,atn,0.01282051282051282,0.0125,0.13165680473372782,5000,0,0.375,0.203125,0.5,8,0.01282051282051282,0.375,0.07933179494949913,0.013157894736842106
52,33,0.26973684210526316,0,down_power,0.015151515151515152,0.015151515151515152,0.0695266272189349,5000,79,0.35526315789473684,0.060941828254847646,0.3026315789473684,19,0.015625,0.2763157894736842,0.06966475970692182,0.015625
52,33,0.19954954954954957,0,metaweb,0.21153846153846154,0.15384615384615385,0.17492603550295857,5000,6,0.5,0.16946676406135866,0.5,37,0.23076923076923078,0.5,0.06966475970692182,0.23076923076923078
52,33,0.30069930069930073,0,niche,0.3076923076923077,0.19230769230769232,0.07211538461538461,5000,0,0.4318181818181818,0.07696280991735537,0.3409090909090909,44,0.2403846153846154,0.3409090909090909,0.06966475970692182,0.11538461538461539
52,33,0.41666666666666663,0,down_rand,0.011904761904761906,0.011904761904761906,0.0695266272189349,5000,105,0.19444444444444442,0.09876543209876543,0.2777777777777778,9,0.011904761904761906,0.16666666666666666,0.06966475970692182,0.012195121951219513
52,33,0.2857142857142857,0,down_link,0.01388888888888889,0.0125,0.0695266272189349,5000,103,0.39285714285714285,0.10204081632653061,0.39285714285714285,14,0.01388888888888889,0.16666666666666666,0.06966475970692182,0.013157894736842106
52,33,0.22499999999999998,7,down_niche,0.014705882352941176,0.057692307692307696,0.0695266272189349,5000,27,0.4642857142857143,0.11862244897959184,0.4642857142857143,28,0.014705882352941176,0.4642857142857143,0.06966475970692182,0.014705882352941176
52,33,0.4464285714285714,0,atn,0.01282051282051282,0.0125,0.1205621301775148,5000,0,0.32857142857142857,0.22448979591836735,0.5,7,0.01282051282051282,0.30357142857142855,0.06966475970692182,0.01282051282051282
52,34,0.5,0,down_power,0.011904761904761906,0.011627906976744186,0.14349112426035504,5000,64,0.1375,0.11,0.1,10,0.011904761904761906,0.1,0.143616783666761,0.011904761904761906
52,34,0.19954954954954957,0,metaweb,0.23076923076923078,0.15384615384615385,0.17492603550295857,5000,18,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.143616783666761,0.21153846153846154
52,34,0.18421052631578946,0,niche,0.09615384615384616,0.07692307692307693,0.14681952662721892,5000,0,0.4473684210526316,0.16412742382271467,0.34210526315789475,38,0.10256410256410257,0.40789473684210525,0.143616783666761,0.1346153846153846
52,34,0.5,0,down_rand,0.012195121951219513,0.011904761904761906,0.14349112426035504,5000,50,0.21022727272727273,0.17355371900826447,0.4621212121212121,11,0.012195121951219513,0.2012987012987013,0.143616783666761,0.012195121951219513
52,34,0.5,0,down_link,0.011627906976744186,0.011363636363636366,0.14349112426035504,5000,60,0.0625,0.109375,0.2916666666666667,8,0.011627906976744186,0.0625,0.143616783666761,0.011627906976744186
52,34,0.1989748369058714,3,down_niche,0.23076923076923078,0.15384615384615385,0.14349112426035504,5000,49,0.5,0.15777940102264426,0.5,37,0.23076923076923078,0.5,0.143616783666761,0.21153846153846154
52,34,0.26190476190476186,0,atn,0.012195121951219513,0.011904761904761906,0.12130177514792899,5000,0,0.5,0.2222222222222222,0.3611111111111111,9,0.012195121951219513,0.5,0.143616783666761,0.013157894736842106
52,35,0.359375,2,down_power,0.01388888888888889,0.013513513513513514,0.11871301775147929,5000,75,0.4375,0.19921875,0.375,16,0.01388888888888889,0.325,0.11883874227625116,0.01388888888888889
