topo_bm_high,net_id,topo_rand_basal,dyn_vul_low,dyn_gen_high,dyn_degree_high,dyn_rand_basal,topo_degree_low,S,dyn_degree_low,topo_vul_low,topo_rand_consumer,topo_gen_low,topo_bm_low,dyn_bm_low,dyn_bm_high,topo_gen_high,dyn_vul_high,dyn_gen_low,topo_degree_high,topo_vul_high,dyn_rand_consumer,C
0.3888888888888889,23,0.3333333333333333,0.41666666666666663,0.4411764705882353,0.4411764705882353,0.3125,0.5,39,0.36764705882352944,0.5,0.5,0.5,0.4444444444444444,0.22794117647058823,0.4444444444444444,0.5,0.28125,0.2882352941176471,0.5,0.5,0.3333333333333333,0.16693435970524723
0.45,24,0.18888888888888888,0.4166666666666667,0.5,0.45,0.1360294117647059,0.5,34,0.39473684210526316,0.5,0.4,0.5,0.25,0.12272727272727273,0.2,0.475,0.15,0.16346153846153846,0.4,0.45,0.35,0.2023341094907418
0.5,25,0.13636363636363635,0.3333333333333333,0.29166666666666663,0.3333333333333333,0.5,0.5,31,0.4318181818181818,0.5,0.5,0.5,0.19696969696969696,0.375,0.29166666666666663,0.5,0.5,0.275,0.5,0.5,0.5,0.1605212348589554
0.5,26,0.24327956989247312,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.5,0.5,37,0.3,0.5,0.4032258064516129,0.5,0.3064516129032258,0.34444444444444444,0.33870967741935487,0.5,0.467741935483871,0.23333333333333334,0.3790322580645161,0.45698924731182794,0.4655172413793104,0.11654451273474284
0.4714285714285714,27,0.5,0.4696969696969697,0.14696969696969697,0.17424242424242425,0.20222222222222222,0.5,53,0.4117647058823529,0.5,0.4714285714285714,0.5,0.38571428571428573,0.1475,0.16287878787878787,0.30952380952380953,0.109375,0.13265306122448978,0.32857142857142857,0.3892857142857143,0.4267676767676768,0.12152359068673664
0.5,28,0.15740740740740738,0.4565217391304348,0.32608695652173914,0.32608695652173914,0.5,0.5,32,0.5,0.5,0.5,0.5,0.2916666666666667,0.5,0.22826086956521738,0.5,0.31666666666666665,0.3888888888888889,0.46875,0.5,0.3333333333333333,0.1550097844599398
0.31481481481481477,29,0.2037037037037037,0.5,0.5,0.5,0.5,0.5,27,0.5,0.5,0.5,0.5,0.34444444444444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1052549391099129
0.4780701754385965,30,0.5,0.5,0.3421052631578947,0.3421052631578947,0.29012345679012347,0.5,37,0.3888888888888889,0.5,0.5,0.5,0.4122807017543859,0.23958333333333334,0.39473684210526316,0.3872180451127819,0.16666666666666666,0.3333333333333333,0.31052631578947365,0.3421052631578947,0.4852941176470588,0.22355473101253945
0.5,31,0.11666666666666667,0.40909090909090906,0.40909090909090906,0.40909090909090906,0.5,0.5,41,0.38888888888888884,0.5,0.43333333333333335,0.5,0.21666666666666667,0.3,0.26136363636363635,0.35,0.5,0.2777777777777778,0.25,0.3,0.4,0.11798026776510975
0.43333333333333335,32,0.5,0.43333333333333335,0.35,0.4166666666666667,0.2,0.5,44,0.26190476190476186,0.5,0.3888888888888889,0.5,0.29444444444444445,0.10833333333333334,0.4166666666666667,0.43333333333333335,0.3,0.08333333333333333,0.43333333333333335,0.4777777777777778,0.5,0.15449648037192593
