"species","size","motility","feeding","tiering","time_pre_during_post","respiratory_protein","physiological_buffering"
"Ellisonia_agordina","small","fast_moving","microcarnivore","nektopelagic","2,3","hemoglobin","buffered"
"Ellisonia_triassica","small","fast_moving","microcarnivore","nektopelagic","2,3","hemoglobin","buffered"
"Hadrodontina_anceps","medium","fast_moving","microcarnivore","nektopelagic","2,3","hemoglobin","buffered"
"Hadrodontina_equabilis","small","fast_moving","microcarnivore","nektopelagic","3","hemoglobin","buffered"
"Hindeodus_latidentatus","small","fast_moving","microcarnivore","nektopelagic","1,2","hemoglobin","buffered"
"Hindeodus_parvus","small","fast_moving","microcarnivore","nektopelagic","3","hemoglobin","buffered"
"Hindeodus_pisai","small","fast_moving","microcarnivore","nektopelagic","3","hemoglobin","buffered"
"Hindeodus_praeparvus","small","fast_moving","microcarnivore","nektopelagic","1,2","hemoglobin","buffered"
"Hindeodus_typicalis","small","fast_moving","microcarnivore","nektopelagic","1,2,3","hemoglobin","buffered"
"Isarcicella_changxingensis","small","fast_moving","microcarnivore","nektopelagic","2","hemoglobin","buffered"
"Isarcicella_inflata","small","fast_moving","microcarnivore","nektopelagic","3","hemoglobin","buffered"
"Isarcicella_isarcica","small","fast_moving","microcarnivore","nektopelagic","3","hemoglobin","buffered"
"Isarcicella_lobata","small","fast_moving","microcarnivore","nektopelagic","3","hemoglobin","buffered"
"Isarcicella_peculiaris","small","fast_moving","microcarnivore","nektopelagic","2","hemoglobin","buffered"
"Isarcicella_prisca","small","fast_moving","microcarnivore","nektopelagic","2,3","hemoglobin","buffered"
"Isarcicella_staeschei","small","fast_moving","microcarnivore","nektopelagic","3","hemoglobin","buffered"
"Isarcicella_turgida","small","fast_moving","microcarnivore","nektopelagic","2,3","hemoglobin","buffered"
"Xaniognathus_gradatus","small","fast_moving","microcarnivore","nektopelagic","2,3","hemoglobin","buffered"
"Archaeocidaris_ladina","medium","slow_moving","omnivore","epifaunal","1","diffusion","unbuffered"
"Echinoidea_gen_et_sp_indet","small","slow_moving","omnivore","epifaunal","2,3","diffusion","unbuffered"
"Eotiaris_teseroensis","small","slow_moving","omnivore","epifaunal","2,3","diffusion","unbuffered"
"Ceratiocaris_cf_solenoides","medium","fast_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Chaenocaris_aff_tenuistriata","medium","fast_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Acratia_zhongyingensis","tiny","slow_moving","herbivore","epifaunal","3","hemocyanin","buffered"
"Arqoviella_dolomitica","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Rectobairdia_kershawi","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Bairdia_cf_subcontracta","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Bairdia_cheni","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Bairdia_deweveri","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Bairdia_hassi","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Bairdia_ortiseiensis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Bairdia_permagna","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Bairdiacypris_fornicata","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Bairdiacypris_longirobusta","tiny","slow_moving","herbivore","epifaunal","1,2","hemocyanin","buffered"
"Bairdiacypris_wangi","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Bairdiacypris_caeca","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Basslerella_annesophieae","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Callicythere_seisensis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Cavellina_alpina","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Cavellina_bellerophonella","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Cavellina_triassica","tiny","slow_moving","herbivore","epifaunal","3","hemocyanin","buffered"
"Cavellina_visnyoensis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"cf_Shleesha_pinguis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Cypridina_crassa","small","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Cypridinella_bellerophontium","small","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Cryptobairdia_bellerophonella","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Cryptobairdia_postilonga","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Fabalicypris_cf_visnyoensis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Fabalicypris_sp_A","tiny","slow_moving","herbivore","epifaunal","1,3","hemocyanin","buffered"
"Geffenina_sp_1","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Glyptopleurina_pasinii","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Indivisia_sp_1","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Indivisia_sp_2","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Judahella_binodata","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Kempfina_qinglaii","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Kempfina_sp_2","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Kempfina_tergilata","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Kerocythere_sp_1","tiny","slow_moving","herbivore","epifaunal","3","hemocyanin","buffered"
"Kirkbya_cf_buekkensis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Knightina_bullaensis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Knoxiella_ventrospinosa","tiny","slow_moving","herbivore","epifaunal","1,2","hemocyanin","buffered"
"Langdaia_bullabalvanyensis","tiny","slow_moving","herbivore","epifaunal","3","hemocyanin","buffered"
"Langdaia_laolongdongensis","tiny","slow_moving","herbivore","epifaunal","3","hemocyanin","buffered"
"Liuzhinia_antalyaensis","tiny","slow_moving","herbivore","epifaunal","3","hemocyanin","buffered"
"Macrocypris_sp_1","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Microcheilinella_lata","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Microcheilinella_peraxilis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Neoulrichia_pulchra","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Parabythocythere_sp_1","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Parabythocythere_chongpani","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Paracypris_gaetanii","tiny","slow_moving","herbivore","epifaunal","3","hemocyanin","buffered"
"Paracypris_sp_1","tiny","slow_moving","herbivore","epifaunal","3","hemocyanin","buffered"
"Parahollinella_visnyoensis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Paramacrocypris_schallreuteri","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Paraparchites_sp_1","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Petasobairdia_nantongensis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Pseudacanthoscapha_striatula","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Sargentina_n_sp_A","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
